label,text
negative,"Блики огня
Стены, столбы
Гривой взмахнув
Конь на дыбы
Крик палача
Стон, эшафот
Ярость меча
Чей-то черед
Сдавленный плач
Шаг в никуда
Снова палач
Жаждет суда
Очередь вверх
Руки поднять
Дьявольский смех
Дрожь не унять
Острая боль
Стоны, мольбы
Кончена роль
Стены, столбы

(Пантер)
19.01.2012"
positive,Всё по плану)
positive,"О боже,кажеца что я влюбилась:)))"
positive,✔Слабое место отца - его маленькая принцесса...😍😉
positive,"С каким же теплом сейчас, в начале декабря, вспоминается осенний Харьков.
Первая Столица в красках золотой осени:"
negative,а чего это ты в контакте сидишь?! Лопату в руки и бегом на крышу!!!!
positive,Очень люблю свою девочку!скучаю...
positive,"прикольно, когда доставка бесплатная=) можно из дома не выходить и не переплачивать))"
positive,Я снова студент! ойейейейейеееей!
negative,забыл меня не любишь(((
positive,Красунька моя💣💥💗😘
positive,♥самая самая самая 😍
positive,"снова отстригла волосы. удивительно, но мне нравится о_О"
positive,"Коза,моя любимая держы))))Помню ети дни,было весело))))Хотя нам всегда весело)))"
positive,"Пускай я сестра не идеальная, зато настоящая. Я не обязательно должна писать тебе на стенке или звонить каждый день, но мы то обе знаем, что ближе нас по душе людей нет."
negative,работаю на свадьбе-проверяю 5д марк3 в действии и сразу скажу-автобаланс белого говнище))))
negative,"ТЫ СКОРО 
НИК Я ТЕБЯ БУДУ УБИВАТЬ ЗА ТО ЧТО ТЫ ТАК ДОЛГО СОБИРАЕШЬСЯ !!!"
positive,"Я нашел ту,с которой я счастлив просто держась за руки,а всё остальное уже неважно!* Love you"
positive,"[id34926746|Юлия Вульфсон], как же я тебя люблю:** 
спасибо за оличный батл, ты достойная соперница :DD
кстати, в 4 утра замечательный рассвет:D"
positive,"Подруга быть может
злючкой, ворчуньей и
колючкой, назойливой
как муха, и вредной как
змея. А может быть
чудесной, весёлой и
прелестной, а также
очень доброй и классной,
как моя!)))"
negative,Жалкое подобие салюта на 9 Мая
positive,Мои роднульки=D*
positive,"Хочу поделиться с вами очень важным событием в моей жизни! Я решилась на операцию по коррекции зрения. Всё прошло успешно, и я отлично ВИЖУ СВОИМИ глазами!!!! Хочу сказать ОГРОМНОЕ спасибо всем, кто мне помогал в эти дни, кто был рядом, кто просто волновался и поддерживал! Я очень вас люблю и очень благодарна! И еще: всё, что изображено на данной фотографии - мне больше не потребуется!! И если среди моих подписчиков или их знакомых есть люди, со зрением -2,75 или -3,00, то я готова отдать всё это в дар!  @ НИИ ГБ им. Гельмгольца "
negative,только всем на это наплевать
positive,Дрессирую кошку :)
positive,это Израиль детка😘😊
positive,"Отличные выходные)))) на  календарном мероприятии #дикаямята 
Третий раз без дождя не обошлось, залило))) Но жёлтые не сдаются!) #этномир "
positive,а вот эта еще лучше
positive,хорошая тыыыыыыы...... прям не могу............
positive,УРА!!!НАМ СЕГОДНЯ ГОДИК!!!!
positive,"Я никогда не думала, что можно
знать кого-то так хорошо и в тоже
время чувствовать, что в этом
человеке еще столько не
разгаданного. Я никогда не знала,
что слова «Я ТЕБЯ ЛЮБЛЮ» каждый
раз звучат как впервые... Я никогда
не встречала человека, с которым
часы пролетали бы как минуты, и с
которым мне ни когда не хотелось
бы расставаться... Не находила
настолько близкого и родного
человека. Милый я никогда не
любила так, как я люблю тебя."
positive,Бекер жжжот!! 
positive,Я ЛЮБЛЮ РОССИЮ!!! Я ПАТРИОТ1
negative,"9 мая 2013 г. в 10:30 не стало нашей мамы. Всего 54 года. Горько и нет слов...  Светлая тебе память, милая наша, единственная."
positive,Люблю тебя очень***
positive,"Первый день лета преподнес самый большой и 
неожиданный подарок** 
Счастлива=)"
negative,"Я бы на месте Газпрома сделал бы скидку украм за газ в размере 400 долларов с условием полной и немедленной оплаты всех долгов. Почему так, да очень просто, украины как государства уже нет, поэтому и скидки в будущем этой не будет. Сейчас важнее Европу и Америку на бабло наказать, ведь они же будут в итоге этот долг оплачивать. Я думаю, что скорее всего Газпром ещё будет делать уступки, деньги получим, капиталистов на $3,5 миллиарда накажем, а там уже и русские проснуться на украине , а тогда от укры вообще ничего не останется, всё наше будет."
negative,"Да я долго мучалась.....любила,а может и люблю.....но поняла что в его жизни ме нет места....я знаю раньше я была дурой,но поняла я почему то это только сейчас.....спасибо вам друзья за поддержку.....вы мне нужны.....а он....он сам это решил...значит ему вот та какаета кукла дороже меня....я его не осуждаю он хороший.....но когда то он поймёт....но будет..поздно....."
positive,Мой самый любимый!❤❤❤
positive,Виновник вчерашнего торжества и веселья в кругу своих девочек))) 🎉🎊
negative,"..вы просыпались когда-нибудь ночью от звука работающей дрели за стеной?..я - да)).....
 -""Скажи-ка мне, милый ребёнок, в каком ухе у меня жужжжжит?- В левом! - А вот и не угадал! У меня жужжит в обоих ухах! ""..
....видимо у соседей в полночь случился трудоголистический припадок...на стук в дверь- не открыли.... громкий вопрос, не ебанулись ли они часом напрочь - проигнорили...но жужжжжать перестали...)"
positive,хорошего вечера Маринка)))!
positive,чето хочу велик!
positive,Играть в соборе на синтезаторе - круто!
positive,Наш пупс!!!!!
positive,"Жизнь стоит прожить так, чтобы в конце Боги наверху офигели и сказали: ДА НУ НАХУЙ!) ПОВТОРИ!"
negative,"А плевать я хотел на тех, кто пиздит обо  мне,а на тех, которые слушают эти сплетни,   дважды плевать..."
negative,"Некоторых парней можно просто исчерпать. Играть с ними становится совсем неинтересно, потому что их ход банален и предсказуем."
positive,Красиво ☺️😍💋💜
positive,Моей крошке👶 2 года! Поздравляю тебя моя радость!🎂💖💖💖💖💖💖💖💖
negative,"[id53756423|Татьяна], млять меня аж передернуло)))) только когда дату увидело с сердца камень упал"
negative,почему в крокодиле рисую всегда не я? =(((
positive,Лучший вечер за последние 3 месяца! спс Даш)) ахаххах
positive,Отличные треки)
positive,Хорошая музыка — лучшая таблетка от депрессии.
negative,"Наверное, мы последнее поколение, чьё детство прошло на улице, а не в интернете..."
positive,"Надеюсь, выходные у всех прошли интересно, приятно и плодотворно)"
positive,А всё равно прикольно:
positive,пизда я Ржу
negative,"Раздался оглушительный хруст французской булки.
 
Какой-то перманентный острый советизм головного мозга, только вывернутый наизнанку. Одну пропагандистскую липу поменяли на другую и радуются, как дети."
negative,"Раньше слово ""ЛЮБЛЮ"" было, как платье от Коко Шанель. Теперь, как дешевая майка с вьетнамского рынка"
positive,ШиКаРна БаБа=»»
negative,"[id4618326|Сергей], эт чо за херня?)"
positive,"Любииииимочка моя)))))
*************Оля Шипновская"
positive,"Ты мне всех дороже💏 не смотря на
все наши ссоры😋😈обиды😬
разногласия 🙈
От тебя у меня дрожь по коже☺
Ведь я тебя люблю♥💚"
negative,сегодня на работе авария. хреново. придется целый день варить. а так хочется поспать.
positive,"А ЭТО ТЕБЕ!!! :) Сказать Спасибо: 
"
negative,сегодня увидел... сколько человек идиотов
positive,ахаххахахха
positive,"Когда я вижу тебя, всё начинает меняться.
Когда я слышу тебя, я забываю обо всём.
Когда я чувствую тебя, мое сердце бьется сильнее...."
positive,Сын у меня родился!!!
positive,Две самые мои любимые девушки - мама и сестра
negative,"несколько минут назад шизофренический синдром в Украине сменился на долбоебизм... 
Новые-старые мудаки раздербанили должности и ушли отдыхать...
Вiтаю! Тiльки кому тепер Слава? Респект. Гру зроблено!"
positive,"Отличная погода для прогулок 🌞 Тёмка насмотрелся на лыжников и бордистов ⛷🏂, накопался в снегу и проспал всю дорогу туда и обратно😴 @ Иня, Горнолыжный Комплекс"
positive,"Андрей! Как лицо всей мужской половины не позволил команде моей мечты ударить в грязь лицом!!!
""А теперь групповое фото команды после победы в турнире"""
positive,"Еще один год пролетел безвозвратно,
Его проводили мы вместе с тобой.
Мне рядом с тобою легко и приятно,
В глазах твоих вижу простор голубой.

Наташка, Наташка, я словно мальчишка,
В тебя, дорогая, влюблён.
Наташка, Наташка, такая интрижка-
Твоей красотою пленён.

И сколько бы не было прожито вёсен,
Тебя все равно я люблю.
Для нас наступила прекрасная осень.
Я каждый её миг ловлю.

Наташка, Наташка, я словно мальчишка,
В тебя, дорогая, влюблён.
Наташка, Наташка, такая интрижка-
Твоей красотою пленён."
positive,"Для тебя любимая, слушай и наслаждайся,это мед для души))"
negative,"Пизда Испанскому футболу!!!""Бавария"" - ""Барселона"" 4:0 ""Боруссия"" Дортмунд - ""Реал"" Мадрид - 4:1"
positive,У меня самый самый ЛУЧШИЙ парень на свете!!!!!!!!!!!!!!!!
positive,какой же он хорошенький)))
positive,а дома лето
positive,"Сеафуд на последочек в колоритном Мексиканском рестике.  Шашлычок из лобстеров конечно вкусно, но я начинаю скучать по нашему Русскому свиному шашлыку под коньячок. #домалучше #явозвращаюсь"
positive,"Я тоже так хочу)))) клип, созданный человеком, который посетил 42 страны за 14 месяцев"
positive,"6 раз в Тольятти, 6 игр, 2 сезона, куча друзей и ещё большая куча эмоций. Это все Первая лига, спасибо ей за это 
#квн1лига"
positive,Пора исполнять мечты)
positive,Моя маленькая радость)*****
negative,"Я сегодня вены себе вскрыть пыталась
Но не смогла"
positive,Я такой симпотишшшшшшный)))))
negative,"чтоб тебе из за 
леса, из-за гор, прилетел в eбло топор"
negative,"наверно это очень плохо, что мне на всех похуй. ну кроме мамочки конечно."
positive,Я хороший? — Да ^_^
positive,АБАЛДЕННЫЙ день здоровья! Почаще бы тако
negative,"Тот, кто борется за свою мечту, сильнее других страдает…"
negative,незаслуженные случайности как же я их ненавижу.
positive,"Тот самый день, было классно))Спасибо вам что пришли<3"
positive,Ахаха)) вот это танцульки)
positive,Люблю тебя моя единственная****)♥
positive,"Когда пьешь в компании, всегда наступает период, когда все становятся политиками, психологами, мудрыми долгожителями
______________________________________
Ну или начинают запекать друг другу лбы..Ложкой..=))))"
negative,не хочу послезавтра:\\\
negative,Ппц...Сломала ногу...
negative,Матерь божья!
positive,Хорошего настроения)
negative,Ребят может уже хватит??!!
positive,"хахахах Темыч))) Это было шикарно, так много в течение 3 часов, я давно не смеялся) последняя твоя аж до слез, про римский легион)0ахахаха"
negative,"Какая разница какие ты умные и романтичные статусы пишешь тут,мы то знаем что ты тупая поебень :D"
positive,Я тебя люблю:* сегодня уже 4 месяца... Ты самая-самая:**
negative,"Наша жизнь, это дорога к смерти..."
positive,Сердечная подборка)
negative,она со мной рассталась и потом сказала что не может без меня.. логика женская не поддайтся научному объяснению!!!
positive,"Первое знакомство с лыжами )) @ Тростян, Славське"
positive,"тот момент,когда ты смеешься без остановки
И НЕ МОЖЕШЬ ОБЪЯСНИТЬ ПОЧЕМУ 

ахаха ну чього так перло ?? ))"
negative,"У кaждого чeловeкa есть своя история, которую больно вспоминать."
positive,"У меня на районе движево) в субботу в кабаке - савичева поет, в воскресенье корпоратив в ТЦ - пушной ведет ( это из камеди, потом на СТС с шацом и Лазаревой вел, и Галилео). А я думаю на касту 1 декабря схожу)"
positive,Уже завтра...:))
positive,"сегодня ина раскрашивала слона. трепещите первоклашки... 
рыдайте импрессионисты :)"
positive,"как бы там кто не выебывался, но это лучший перф сделанный в России за всю историю... 80тыщ элементов... :З"
positive,"Наверное, только у моего
брата самый
красноречивый
комплимент - это слово
""нормально!!!!"" Ведь так и есть,правда,Андрюш!?!?! 😜 😆"
positive,"Как хорошо, когда есть дочь ... Как Солнце яркая, точь-в-точь !!! Такая ласковая, и родная ... Такая добрая, и золотая !!! Волшебный, сказочный цветочек ... Счастливый, нежный ангелочек ... Луна, что освещает ночь ... Как хорошо, когда есть дочь !!!"
positive,вроде да)вроде даже хорошо))
positive,Я вернулся^^
positive,"И 1001, моя запись))хахах)))"
positive,Мой хороший)))))***
positive,"Хочу итальянскую жизнь, американскую зарплату, французскую любовь и гавайское лето..."
positive,"А-а-а-а! Я установил Хром на рабочий комп! Эксплорер корчится в адовых муках и непрерывно умирает навсегда!

:?)"
positive,Люблю грозу в начале мая.  #Львов
negative,"Олимпийское ""Коекакство"" для страны... Забетонируем все пляжи, Замочим всех бездомных собак и кошек, Застроим все погосты, Забронируем и Займём все места, Заснём на открытии, Забудем, Зазнаемся, Запорем, Загнём, Заставим, Засадим, Зароем, Замрём, Запара, Зараза, Зануда, Засада, Заставим За всех Залюбить Лимпиаду!!!"
negative,"Поиграли в теннис, твоюж мать..."
negative,"Нет, это звездец. Привет девяностые. Люди, одумайтесь! Зачем вам понадобилась крышка бензобака от ОКИ?!?! Просто жесть, в довершение истории о вывернутой в подъезде лампочки накаливания, у меня спёрли эту крышку. Нет, ну я понимаю, если бы хотя бы бензин ещё слили (тем более, если учесть, что там 95). Так НЕТ! Только крышечку спёрли. Теперь туда гавнища всякого в бензобак налетело. 
Пошло оно всё) 
*расстроился и не пошёл в универ."
positive,"Посвящается Ксюше Тарасевич:  

Между нами разница — семь лет,
Но с годами тоньше эти грани.
Мы взрослеем...(Не стареем, нет!😊
И поэтому друг к другу больше тянет.
Я знаю, нелегко найти таких, как ты, ДРУЗЕЙ.
Ты согреваешь сердце мне
улыбкою своей!
Всегда стараешься понять, утешить, подбодрить.
Печаль и радость ты со мной готова разделить.
Тебе доверить я могу заветные мечты...
Мне очень-очень повезло, что у меня есть Ты!"
negative,"Да ты юморист, нацист, талераст и пидараст, таких как ты называю чурками, едь обратно в горы еби овец"
positive,♥моя сестричка♥
positive,люблю:*скучаю очень:***
negative,"#Стаханов #Кадиевка #УкрыПидоры
Сказать что я в шоке, это ничего не сказать..."
positive,посмотри когда время будет! одна из любимых серий!
positive,Ох.. как я их люблю ))
positive,страшно? ))ахах
negative,зря шустера отключили.. раскол на лицо..
positive,"Они мои самые,самыее:*"
negative,"А я не знаю  даже сколько в моей душе ран и трещин,разбито сердце на осколки увы любить больше нечем.....((((("
positive,кажется никогда не устану ее слушать
positive,ВСЕМ ТАНЦЕВАТЬ!!!
positive,очень нравится...
positive,супер день) жаль только клещ укусил...
negative,Вытащили кошелек в электричке с приличным количеством бабла(((( поддержите добрым словом! Настроение ни к черту.
positive,когда-нибудь и мы будем так танцевать))))))))))))))
positive,"Береги ту, что за тебя плачет... БОГ бережет тебя за ее слезы♥♥♥"
positive,Хороший вечер с друзьями)
positive,хоп  обнял
negative,зашибись как всё надоело вообще блин
positive,Учился я там))
negative,Эта мысль не дает мне покоя...
positive,И даже день рождения не помеха спорту💪☝)))
positive,Долгожданный диплом!!))
positive,выходные!11
negative,меня одну всегда раздражала эта херь?
positive,"И у нас будет праздник братцы.мечты для того чтоб сбываться,улыбайся Все не напрасно:)..."
negative,"я прекрасно понимаю что на мои посты нихера отвечать ни кто не должен...я их сам для себя хуярю и не на что не надеюсь...вобщем протележу в очередной раз...сегодня одна тётка увидев мою несвежую морду сообщила ""я бы затакого свою дочь бы не отдала""..я ей озвучил примерно десяток вопросов)...уложились мы с ней в две станции метро...1 - я тут едя в метро вообщето не на выдане себя позиционирую а как бы на работе находясь))...2е - я ни одним глазом ещё не видел все ответы на мои молитвы...тобеш вашу дочь)...и вовсе не известно ктоб кого выбирал...3-е...тёща попалась такая, что похеру как выглядит дочь...её лучше не трогать...и дочь и мать)...4-е...с какого хуя она вообще решила что меня интерересует сейчас чьято дочь)...мы все чьито сыновья и дочери ...и что с того?"
positive,"Досмотрел «Жандарм и инопланетяне»… И теперь хочу пейджер. Я очень хочу пейджер!...))) 
И чтобы непременно носить его на ремне… И тоже изображать инопланетянина…)"
positive,мне должно хоть раз повезти!)
positive,Люблю тебя)))***
positive,"Пашка лучше всех!
а бабы, для которых он ""бывший"" или ""просто друг/знакомый/мы только песнями в контакте обмениваемся"" тупые овцы!"
negative,"Вечер субботы. Я сижу на работе. Как и в вечер понедельника, вторника, среды, четверга и пятницы. Причем в одиночестве)"
negative,Пришла зима и за пару дней в...ла всю голову))
positive,люблю тебя!!! сучка крашенная)
positive,"Кошечки , люблю Вас"
negative,"уронила гитару...о черт, прости меня, моя гитарка, простииииии......((("
negative,Мне надоело !
negative,"В России выдвинули законопроект, запрещающий анонимность в интернете. Зашибись! Я себе представила ролевую игру: вервольф - Петр Иванович Сидоров, гном - Мустафа Саидович Аляддинов, эльф - Тарас Осипович Перебийнос и т.д.))))"
positive,"Макс, классная ава! Джими Хендрикс, как- то сказал: ""Я хочу жить на своем острове и слушать, как растет моя борода""."
negative,Как достали случайные люди...
positive,"Люблю когда всё красиво, море, солнце, пиво."
negative,Очень плохо((((( заболела(((( обидно.....
negative,"Видимо, у меня вообще нет той самой ноги, с которой нужно вставать, чтобы день был хорошим....😏"
negative,"Турист - жалкое подобие Неуловимого. стыдно, Голливуд!"
positive,У тебя голос шикарный)) желаю тебе удачи и успехов в твоем творчестве..)
positive,"Завидуйте, кто на работе, Я В РАЮ!!!"
negative,ты прикинь пухлый живет в моем городе он меня преследует!!!!!!!!!!!!! капец!!!!!!!!!!!!!!
negative,"В обморок ночи, я вечность лечу,
С легкостью вздоха свой облик теряю.
Только молчаньем сказать я хочу,
Лишь о тебе, я как прежде, скучаю."
positive,Вот это огонь!
positive,оп такой ништячек после работы :)
positive,"Мне пофиг, что говорят про
неё другие,
она моя подруга и я её
люблю. И не
отдам ее ни за что и
никому.©"
positive,ахаххахах))))))))
positive,"Вчера смотрела в кино вторую часть Голодных игр:  я была просто поглощена фильмом, гениальный. Вот только невыносимо теперь ждать третию серию."
positive,Вот смешные ребята))))) XDD
positive,Мои любимки!!!!
positive,"Пиздато сегодня день провели) Спасибо, бро!)"
negative,"Заходишь в соленое море по грудь,
И чувствуешь, сколько царапин на теле.
А если бы душу в него окунуть?
Мы сдохли б от боли, на самом-то деле..."
positive,Лучшее что может быть утром 9-го марта.....
positive,Ух красотка!!!
positive,"РЕПЛИКА НА ДИСКУССИЮ

Помню вкусненные пироги с фасолью и маком из горячей печи, помню кашу пшенную с тыквой, горячие натомившиеся щи. Помню чистенькую опрятную бабушку Дашу и ее глаза полные доброты и любви.Помню!

ССЫЛКА: "
positive,"Люблю тебя больше всего на свете!!!!! И ты только мой!!!!)) вслушивайся в слова :**
"
negative,Я скучаю по тебе!:(
positive,Хочу такую - чтобы не хотеть другую...
positive,Приятная встреча)
positive,"Закончилось лето, но не наш отпуск😛😊👫"
positive,люблю доченька*
negative,"Ну вот какого хрена, мужик, ты купил этот чертов лодочный мотор?..."
negative,ну где же эта пятница????????
positive,"Интересная SMS от znakosha.ru

""Я хочу не только тебя видеть, 
я хочу не только тебя целовать, 
Я хочу не только тебя чувствовать, 
Мне мало тебя обнять, 
Я хочу дарить тебе любовь, 
И чтобы мы не знали слова страдания, 
Чтобы долгая разлука секундой казалась, 
А миг счастья с тобой никогда не кончалась."" [id115040168|Елена Еленова]"
negative,"Без какого-либо напряжения, я, как Цезарь, умею делать кучу вещей сразу, например, плохо себя чувствовать, херово выглядеть и хотеть спать."
positive,"нет лучше пацанов на свете,
чем те, кто в тельняшке и
берете!"
positive,"Зеленоглазые люди - это сама нежность. Любят они всегда искренне, горячо и отличаются верностью тем, кого выбрали."
positive,Моя первоклашка!!!!
positive,#приятнаявстреча #старые_добрые_друзья #естьчтовспомнить  @ Победа
negative,Я люблю тебя... Скучаю...
positive,"Я благодарен тебе жизнь, ведь ты у меня классная!!!!!!!!!!"
negative,кинь сука фотки..
positive,"Спасибо, за этот прекрасный вечер!!!
P.S.: Я вас люблю, мои греки! Всё было шикардос)*"
positive,"КТО ХОЧЕТ ОТДАТЬСЯ НАТУРОЙ ЕЙ В ПОДАРОК НА ДР ПИШИТЕ ЕЙ ЛИЧНО))ЭТО МОЙ ПОДАРОК..АХАХ 
не кисни слелка.ща все будет)) "
negative,"вроде бы все в порядке,
а внутри черт знает, что происходит."
positive,"Офигеть просто!!! Это звучит куда круче, чем у Пугачевой! Миллион алых роз на корейском. Поражает реакция корейцев, сидящих в зале. Они её наизусть знают, ёпте!"
negative,"уехал в аэропорт ..
мандраж какой то .. 
да нет , все точно будет хорошо ..."
positive,такое чудо я и себе хотела бы=)))))
positive,Вот такая прелесть встречает меня с утра на работе💜💜💜 
positive,"Пока 40 школа не видит:Р
#последнийзвонок"
positive,Таката на кухне ееее)) не грусти все хорошо***
positive,Первое место!!!!
positive,"Если девушка ходит не
накрашенная-это значит у неё есть парень и он её
действительно любит))"
positive,хочу такой подарок -_-
negative,"Помним, Любим, Скорбим."
positive,Моя маленькая❤💋
positive,Гениальная вещица от Флойдов)
positive,"мммммм)) хочу, хочу, хочу))"
positive,"14 декабря - примерная дата премьеры песни, которую я пою с моим любимым Максом Светским. Я начала свою певческую карьеру! Вторую нашу песню вы услышите в клипе. На эту тоже планируется клип. Ещё больше фото со съёмок клипа ждёт вас. И ещё в ближайшее время ждём у меня на стене треки моего проекта Лёши Скрима и Никиты Треша. А также ждём ошеломительную новость от меня, мои вы сладкие.)))))"
positive,Наши вечерние посиделки в узком семейном кругу)))
positive,"Наконец прошла пора бессонных ночей, перегруженного мозга и угрызений совести, после вечера, не проведенного дома за учебниками. Сессия закончена, товарищи!"
positive,"У кого-то зима, а у меня все еще лето))))))))"
negative,"блять, и что же будет завтра?!"
negative,"Блин, еще несколько месяцев назад, слова МОСКАЛЬ и ХОХОЛ не были оскорбительными. А сейчас, увы. Надо от них отказываться"
negative,Не могу больше молчать.Все проблемы моей жизни только из-за этого человека 
negative,"ахуенно ,блеать,я попал под дождик..."
positive,девочка моя хорошая я скучаю(((((
negative,Русские покупанты 😃
positive,урааа!!! пятерка!
positive,Ёлка готова! можно начинать провожать =)
negative,"слёзы мои,капайте вниз....боль моя сожри меня.....печаль моя соси хуя.....вера моя ,веди меня......жизнь моя-сожги меня"
positive,"А мы сегодня посетили новую игровую в Киеве, впечатлений масса!!!ждем теперь выходных с нетерпениям, т.к. Там осталось много незаконченных дел))) Всем жителям столицы настоятельно рекомендуем #flypark #трцпроспект"
negative,Олимпиада подходит потихоньку к концу. Грустно :( Теплится надежда что случится чудо и наши хотя бы 20 золотых сумеют набрать.
positive,"Не торопись...пока ты не поймешь, 
Что я одна...и нет меня дороже!!!
Пока ты сто кругов жизни пройдешь,
А на сто первый...без меня НЕ СМОЖЕШЬ...♥♥♥"
positive,вот эта вообще крутая
positive,"вот об этом я говорила, они тут дали жару))"
negative,"сложно.. сложно-сложно-сложно. идите вы все - атеисты и за деньги продавшиеся. атеисты, правда, вызывают гораздо меньше недоумения и досады.. (совсем не ставлю знака равенства м/у атеистами и продавшимися)  а я встану рядом с Федором Михайловичем, несмотря на то, что я искренне недоумеваю порой.. откуда такой детский, любящий взгляд на Христа.. в библии он не очень-то симпатичная личность.. не библейский Христос мне люб, а тот, которого чувствуешь.. на службе в храме, например, и/или в полном одиночестве.. Тот, которого Достоевский создал/ почувствовал.."
positive,"Пора покончить правде с ложью, пора нам вспомнить наше звание, Мы не рабы - Мы дети Божьи, Мы славим право - Мы Славяне!!!))))"
negative,А вот это уже нихуя не смешно.
positive,вот эта качает
negative,"И это всё за вечер, в маленьких Броварах, вот она блять ваша  свобода. домайданились дебилы.!!



"
negative,Ведущий - это призвание... геморное призвание =/
positive,Любимые головы :D
negative,Ну почему жизнь так жестока и всегда заставляет нас перед чем-то выбирать???
positive,хороший статус)
positive,Ещё один ребёнок появился:)
positive,Эти песни ассоциируются только с тобой))скучаю.
positive,Тоже ничего такие
positive,"Пускай я подруга не лучшая, зато настоящая. Я не обязательно должна писать тебе на стенке или звонить каждый день, но мы то обе знаем, что ближе нас по душе людей нет..."
positive,идеальная пара
negative,"а такую мутотень, я тоже могу накалякать!"
positive,Моя любимая картинка про весну.
negative,дураааааа...
positive,в Москву пришла весна!! о.О
positive,Хорошо сидим😏👍
negative,Идисукаподрочи :D
negative,"Я - сложный человек. Со мною очень трудно.
Вчера была строга, сегодня — безрассудна.
Я каюсь и смеюсь почти одновременно,
С любимыми — раба, с влюбленными — надменна.

Я верю только тем, кто знает, кто есть я,
А значит, никому, по правде говоря...
Умею быть смешной, загадочной и злой,
Желанному — чужой, ненужному — родной.

И сколько бы страниц ни тратилось на стих,
Он будет недалек, он будет только штрих.
Я - странный человек. Со мною очень сложно:
И трудно, и легко, и просто невозможно...."
positive,"Всем-всем-всем ТП посвящается. Ценим новый трек, может кто и себя там увидит!) Ну или услышит :D Делайте репост...больше репостов - больше треков!!! Всем мир!)"
negative,Время летит.....
positive,"Сергей, я хочу познакомить тебя с симпатичной девушкой!
"
negative,"Они вырастут и убьют тебя! Так что или ты их, или они тебя!"
positive,класное  видео!
negative,"Все повторяется и ничто не ново под луной... А вы думали, и время другое и люди другие? Нет. Так что, учите историю и готовьтесь ко всему. Все будет. Все ужасы из фильмов и книжек. 
Перевернется все. Будет полный ""разрыв шаблонов"".... Впрочем, все равно никто ничего не поймет и ни к чему не будет готов...



"
positive,Такое впечатление что ты одна и навсегда=*
positive,"показала лучшей подруге фотки парня,который нравится.ПОЖАЛЕЛА.ДИКИЙ РЖАЧ НА ВСЮ КВАРТИРУ"
positive,"Катюня,Катюня,моя сладкая печенька!!!Так бы и слопала тебя!!!"
negative,"Понедельник, пожалуйста....иди на хуй!"
negative,"За спиной - что угодно, в лицо - что выгодно.   Ненавижу таких людей."
positive,#мяу #девочкитакиедевочки #счастьеесть
negative,"Лучше не привыкать.
К словам,к поступкам,к людям."
positive,ава вдохновила...XDDDD!!!!
positive,ахахахах)))) а шо делать)
positive,"пускай каждый, кто читает этот статус, будет ещё немножко счастливей) любите и будьте любимыми, это самое большое счастье."
negative,Минус друг(((
positive,Замуж ушла)))
positive,Самый счастливый год в моей жизни! :*
positive,Ночь с моим солнцем😊
negative,"Хочется поступать умно и по-взрослому , а получается глупо и по-детски©"
positive,"Я живу одним тобой, об одном тебе мечтаю, я скучаю по тебе, любимый мой, я безумно по тебе скучаю ...
Руки опускаются порой, слезы ... снова мокрые ресницы 
Мой хороший,знаешь,ночью мне наша радостная встреча снится, встреча после года вдалеке, много месяцев в разлуке оставляю ...
Я люблю тебя, хороший мой 
Я безумно по тебе скучаю ... ❤"
negative,Вот что скорость делает..окуратней 😐
negative,не уснуть...
positive,герой русских комиксов=)
